"Buch1" "Buch2" "Buch3" "Buch4" "Buch5" "Buch8"
"jetzt" 0.0355143063464065 0.1120016800252 0.118594977294127 0.140630214043953 0.133333333333333 0.0700741086785722
"zwischen" 0.124300072212423 0.134168679196855 0.098332518861965 0.0864041569337846 0.0894915254237288 0.117214872698703
"wird" 0.205982976809158 0.0711677341826794 0.0721105138321076 0.0643561996472327 0.0569491525423729 0.166479094557578
"diesen" 0.0994400577699383 0.101501522522838 0.0780700604298025 0.10070553463317 0.0944632768361582 0.12613339562143
"ihn" 0.0520876493080629 0.054834155845671 0.107867793418277 0.127520617819517 0.141016949152542 0.0726222580850657
"seinen" 0.0390657369810472 0.061834260847246 0.100120382841273 0.134075415931735 0.124293785310734 0.0908839954982694
"bloß" 0.0947048169237508 0.108501627524413 0.112635430696433 0.101897316108118 0.0854237288135593 0.0938568364725118
"wurde" 0.0698448024812662 0.116668416692917 0.0709186045125687 0.0828288125089384 0.063728813559322 0.162656870447837
"wieder" 0.050903839096516 0.0898346808535461 0.107867793418277 0.0941507365209515 0.112994350282486 0.0972543690145032
"vom" 0.117197210943142 0.0933347333543336 0.0876053349861143 0.0828288125089384 0.103050847457627 0.103624742530737
"könig" 0.102991488404579 0.103834890856696 0.0822417430481889 0.0983219716832722 0.0899435028248588 0.10659758350498
"beiden" 0.0887857658660164 0.0991681541889795 0.0947567909033481 0.0899795013586309 0.0763841807909604 0.115940797995456
"ihrer" 0.0698448024812662 0.102668206689767 0.0947567909033481 0.096534299470849 0.104858757062147 0.0870617713885291
"italien" 0.123116262000876 0.103834890856696 0.112039476036663 0.102493206845593 0.0980790960451977 0.049264221858875
"ihnen" 0.0840505250198288 0.0991681541889795 0.0989284735217345 0.0893836106211565 0.088135593220339 0.0921580702015161
"senat" 0.0224923940193908 0.11316836419213 0.103100156140121 0.151952138055966 0.118870056497175 0.0169876627099569
"also" 0.130219123270157 0.100334838355909 0.0804538790688804 0.082232921771464 0.0790960451977401 0.081965472575542
"konnte" 0.0793152841736413 0.0898346808535461 0.098332518861965 0.0947466272584259 0.112090395480226 0.0513876796976196
"während" 0.0816829045967351 0.107334943357484 0.101312292160812 0.0792534680840921 0.0781920903954802 0.076444482194806
"ihr" 0.0639257514235318 0.0816678916850419 0.0822417430481889 0.087000047671259 0.103502824858757 0.0760197906270571
"pompeius" 0 0 0.000595954659769485 0.0178767221242313 0.338079096045198 0.0144395133034634
"diesem" 0.0698448024812662 0.0735011025165377 0.0709186045125687 0.0661438718596558 0.0935593220338983 0.103200050962988
"sehr" 0.0947048169237508 0.0770011550173253 0.115019249335511 0.0959384087333746 0.0781920903954802 0.0522370628331175
"mann" 0.0438009778272347 0.061834260847246 0.121574750592975 0.109643895695285 0.0985310734463277 0.0416197736393944
"denn" 0.146792466231814 0.0898346808535461 0.077474105770033 0.0780616866091434 0.095819209039548 0.0501136049943728
"krieg" 0.0189409633847502 0.0700010500157502 0.13885743572629 0.0977260809457978 0.0709604519774011 0.0620049688913427
"ihren" 0.0828667148082819 0.0723344183496086 0.0649590579148738 0.0703151070219765 0.0940112994350282 0.0806913978722952
"wenigstens" 0.0698448024812662 0.0688343658488211 0.0744943324711856 0.0697192162845021 0.0795480225988701 0.0853630051175334
"namentlich" 0.0769476637505475 0.095668101688192 0.0864134256665753 0.0655479811221814 0.0863276836158192 0.060306202620347
"eines" 0.0958886271352977 0.0805012075181128 0.077474105770033 0.0798493588215665 0.0741242937853107 0.0637037351623383
"j" 0.00947048169237508 0.0268337358393709 0.018474594452854 0.0929589550460028 0.0601129943502825 0.159259337905846
"seinem" 0.0366981165579534 0.040833945842521 0.0810498337286499 0.0905753920961053 0.0944632768361582 0.0683753424075765
"griechischen" 0.143241035597173 0.0688343658488211 0.0917770176045006 0.0560137293225914 0.0388700564971751 0.0879111545240269
"nichts" 0.0556390799427036 0.0688343658488211 0.0995244281815039 0.082232921771464 0.0809039548022599 0.0530864459686153
"alle" 0.0828667148082819 0.0700010500157502 0.0715145591723382 0.0655479811221814 0.0899435028248588 0.0620049688913427
"römern" 0.0639257514235318 0.0933347333543336 0.0989284735217345 0.0625685274348095 0.0569491525423729 0.0730469496528146
"teils" 0.0580067003657974 0.121335153360634 0.0899891536251922 0.112623349382657 0.0944632768361582 0
"gewesen" 0.0970724373468446 0.0816678916850419 0.0780700604298025 0.0452876960480526 0.0470056497175141 0.0976790605822521
"dessen" 0.0591905105773442 0.0653343133480336 0.0637671485953349 0.0786575773466177 0.0745762711864407 0.0760197906270571
"großen" 0.0449847880387816 0.0723344183496086 0.0697266951930297 0.0583972922724889 0.063728813559322 0.0981037521500011
"regierung" 0 0.0198336308377959 0.0691307405332602 0.10070553463317 0.056045197740113 0.11041980761472
"weise" 0.0698448024812662 0.0723344183496086 0.0494642367608672 0.0655479811221814 0.0632768361581921 0.0942815280402608
"deren" 0.0899695760775632 0.0898346808535461 0.05780760199764 0.0631644181722839 0.0673446327683616 0.0671012677043297
"kam" 0.030779065500219 0.0676676816818919 0.0834336523677279 0.0685274348095533 0.0632768361581921 0.0751704074915593
"eben" 0.0840505250198288 0.0723344183496086 0.0810498337286499 0.0566096200600658 0.0451977401129944 0.0794173231690485
"jahre" 0.0177571531732033 0.163335783370084 0.0899891536251922 0.0530342756352195 0.0564971751412429 0.0552099038073599
"allen" 0.101807678193032 0.0700010500157502 0.0679388312137213 0.060184964484912 0.0845197740112994 0.0420444652071433
"gebiet" 0.0438009778272347 0.0630009450141752 0.0560197380183316 0.0661438718596558 0.0501694915254237 0.09852844371775
"wir" 0.136138174327892 0.0513341033448835 0.0333734609470911 0.0482671497354245 0.0415819209039548 0.104898817233984
"zwar" 0.0733962331159069 0.0910013650204753 0.0715145591723382 0.0816370310339896 0.0605649717514124 0.0428938483426412
"wahrscheinlich" 0.0757638535390006 0.0723344183496086 0.0435046901631724 0.0399246794107832 0.0370621468926554 0.116790181130954
"weit" 0.0639257514235318 0.0513341033448835 0.0584035566574095 0.0536301663726939 0.0677966101694915 0.0781432484658017
"allem" 0.0828667148082819 0.054834155845671 0.0482723274413283 0.072698669971874 0.0569491525423729 0.0666765761365808
"ebenso" 0.0970724373468446 0.0641676291811044 0.0685347858734907 0.0470753682604758 0.0465536723163842 0.0700741086785722
"italischen" 0.142057225385626 0.0863346283527586 0.0738983778114161 0.0750822329217715 0.048361581920904 0.0191111205487015
"heer" 0.00947048169237508 0.0630009450141752 0.0977365642021955 0.0762740143967202 0.063728813559322 0.0407703905038965
"blieb" 0.041433357404141 0.0840012600189003 0.060191420636718 0.0560137293225914 0.0587570621468927 0.065402501433334
"neue" 0.0331466859233128 0.0746677866834669 0.0560197380183316 0.0744863421842971 0.0700564971751412 0.0471407640201304
"damit" 0.0568228901542505 0.0758344708503961 0.0542318740390231 0.0524383848977451 0.0592090395480226 0.0649778098655851
"überhaupt" 0.0911533862891101 0.0466673666771668 0.0607873752964874 0.0560137293225914 0.0533333333333333 0.0615802773235937
"alten" 0.0887857658660164 0.0723344183496086 0.0607873752964874 0.0446918053105783 0.0587570621468927 0.0543605206718621
"ließ" 0.0165733429616564 0.0338338408409459 0.0661509672344128 0.0852123754588359 0.0863276836158192 0.0356740916909095
"provinz" 0.00118381021154688 0 0.0107271838758507 0.060184964484912 0.047909604519774 0.146093899305629
"gemeinde" 0.198880115539877 0.192502887543313 0.0482723274413283 0.0339657720360395 0.0185310734463277 0.0233580362261907
"recht" 0.0828667148082819 0.116668416692917 0.0470804181217893 0.0667397625971302 0.047909604519774 0.0416197736393944
"vielleicht" 0.0662933718466256 0.0583342083464585 0.0482723274413283 0.0464794775230014 0.0488135593220339 0.0811160894400442
"denen" 0.0639257514235318 0.0525007875118127 0.0518480553999452 0.0649520903847071 0.0682485875706215 0.0488395302911261
"ersten" 0.041433357404141 0.0805012075181128 0.0607873752964874 0.0583972922724889 0.0429378531073446 0.0662518845688319
"teil" 0.0733962331159069 0.0746677866834669 0.0727064684918771 0.0780616866091434 0.0786440677966102 0
"immer" 0.0438009778272347 0.0630009450141752 0.0476763727815588 0.0667397625971302 0.0659887005649717 0.0509629881298707
"stand" 0.0224923940193908 0.054834155845671 0.0703226498527992 0.0613767459598608 0.0619209039548023 0.0505382965621218
"freilich" 0.0355143063464065 0.047834050844096 0.0697266951930297 0.0446918053105783 0.0546892655367232 0.0615802773235937
"ganz" 0.0674771820581724 0.0525007875118127 0.0637671485953349 0.0595890737474377 0.0510734463276836 0.0454419977491347
"legionen" 0.00118381021154688 0.0233336833385834 0.0452925541424808 0.0238356294989751 0.0822598870056497 0.0887605376595248
"kann" 0.130219123270157 0.0641676291811044 0.0488682821010977 0.0291986461362445 0.0311864406779661 0.0688000339753254
"beispiel" 0.0651095616350787 0.0653343133480336 0.058999511317179 0.060184964484912 0.0524293785310734 0.0420444652071433
"gab" 0.0378819267695003 0.0536674716787418 0.0554237833585621 0.0536301663726939 0.0574011299435028 0.0586074363493513
"zunächst" 0.0627419412119849 0.054834155845671 0.0560197380183316 0.050650712685322 0.0510734463276836 0.0564839785106067
"indes" 0.061558131000438 0.101501522522838 0.076282196450494 0.0792534680840921 0.056045197740113 0
"ganzen" 0.0757638535390006 0.0385005775086626 0.0482723274413283 0.0560137293225914 0.0528813559322034 0.0543605206718621
"neuen" 0.0366981165579534 0.0560008400126002 0.0488682821010977 0.0536301663726939 0.0736723163841808 0.0433185399103901
"andere" 0.0781314739620944 0.047834050844096 0.0399289622045555 0.0613767459598608 0.048361581920904 0.054785212239611
"bald" 0.0402495471925941 0.0466673666771668 0.0423127808436334 0.0655479811221814 0.0551412429378531 0.0577580532138534
"seit" 0.0378819267695003 0.0560008400126002 0.0452925541424808 0.0655479811221814 0.0506214689265537 0.0552099038073599
"ging" 0.0236762042309377 0.047834050844096 0.0661509672344128 0.0595890737474377 0.0501694915254237 0.0526617544008664
"erst" 0.0958886271352977 0.0560008400126002 0.0488682821010977 0.0357534442484626 0.0388700564971751 0.0624296604590916
"keine" 0.0627419412119849 0.0513341033448835 0.0476763727815588 0.0446918053105783 0.0492655367231638 0.0594568194848491
"truppen" 0 0.0233336833385834 0.0643631032551043 0.041116460885732 0.0619209039548023 0.07092349181407
"dagegen" 0.0982562475583914 0.0630009450141752 0.0518480553999452 0.0542260571101683 0.0519774011299435 0.0288790266069267
"städte" 0.041433357404141 0.0536674716787418 0.0709186045125687 0.0291986461362445 0.0325423728813559 0.0747457159238103
"dieses" 0.050903839096516 0.0396672616755918 0.0435046901631724 0.0387328979358345 0.0447457627118644 0.0772938653303039
"sei" 0.0520876493080629 0.047834050844096 0.0631711939355654 0.0607808552223864 0.0488135593220339 0.0373728579619052
"dort" 0.0461685982503285 0.0396672616755918 0.0476763727815588 0.0440959145731039 0.0370621468926554 0.0751704074915593
"hauptstadt" 0.00473524084618754 0.0221669991716542 0.0345653702666301 0.060184964484912 0.0849717514124294 0.0488395302911261
"namen" 0.0994400577699383 0.0361672091748043 0.0333734609470911 0.0452876960480526 0.032090395480226 0.07092349181407
"armee" 0 0.0175002625039376 0.0512521007401757 0.0500548219478476 0.0885875706214689 0.0428938483426412
"konsul" 0 0.114335048359059 0.0595954659769485 0.113815130857606 0.0411299435028249 0
"einmal" 0.0355143063464065 0.0501674191779543 0.060191420636718 0.0482671497354245 0.0519774011299435 0.0454419977491347
"ja" 0.050903839096516 0.0583342083464585 0.058999511317179 0.0595890737474377 0.0546892655367232 0.0267555687681821
"gemeinden" 0.0710286126928131 0.095668101688192 0.0542318740390231 0.0566096200600658 0.0329943502824859 0.0297284097424246
"lassen" 0.0248600144424846 0.0466673666771668 0.0673428765539518 0.055417838585117 0.0578531073446328 0.0322765591489181
"weiter" 0.030779065500219 0.0361672091748043 0.0369491889057081 0.0435000238356295 0.0470056497175141 0.0721975665173168
"zugleich" 0.0438009778272347 0.0373338933417335 0.0375451435654775 0.0595890737474377 0.0610169491525424 0.0420444652071433
"später" 0.0958886271352977 0.0420006300094501 0.0369491889057081 0.0440959145731039 0.0253107344632768 0.0662518845688319
"derselben" 0.0544552697311567 0.0525007875118127 0.0512521007401757 0.0470753682604758 0.0406779661016949 0.0488395302911261
"bürgerschaft" 0.0603743207888911 0.0653343133480336 0.0649590579148738 0.0709109977594508 0.0442937853107345 0.011041980761472
"i" 0.0355143063464065 0.00233336833385834 0.00297977329884742 0.096534299470849 0.0248587570621469 0.0870617713885291
"art" 0.0591905105773442 0.0361672091748043 0.0518480553999452 0.0464794775230014 0.0488135593220339 0.0441679230458879
"endlich" 0.0438009778272347 0.0571675241795294 0.0637671485953349 0.0589931830099633 0.0533333333333333 0.0203851952519483
"soldaten" 0 0.0233336833385834 0.0363532342459386 0.0482671497354245 0.0863276836158192 0.043743231478139
"seines" 0.0177571531732033 0.0350005250078751 0.0429087355034029 0.0631644181722839 0.0583050847457627 0.0433185399103901
"scheint" 0.0627419412119849 0.0466673666771668 0.0411208715240944 0.0512466034227964 0.0298305084745763 0.0581827447816024
"zwei" 0.0520876493080629 0.0560008400126002 0.0429087355034029 0.045883586785527 0.0470056497175141 0.0450173061813858
"gaius" 0.00118381021154688 0.0221669991716542 0.0339694156068606 0.116198693807503 0.0533333333333333 0.0250568024971864
"fast" 0.0331466859233128 0.0350005250078751 0.0494642367608672 0.0452876960480526 0.0628248587570621 0.0377975495296541
"gleich" 0.0497200288849692 0.0571675241795294 0.0441006448229419 0.0417123516232064 0.0379661016949153 0.0505382965621218
"caesars" 0 0 0 0.00357534442484626 0.172203389830508 0.0212345783874461
"darauf" 0.0224923940193908 0.0455006825102377 0.0429087355034029 0.0435000238356295 0.0519774011299435 0.0496889134266239
"ende" 0.0153895327501095 0.0536674716787418 0.0637671485953349 0.0512466034227964 0.0429378531073446 0.0373728579619052
"wegen" 0.0272276348655783 0.047834050844096 0.039333007544786 0.0613767459598608 0.0406779661016949 0.0475654555878793
"viel" 0.030779065500219 0.0303337883401584 0.0554237833585621 0.0399246794107832 0.0379661016949153 0.0586074363493513
"kein" 0.050903839096516 0.0455006825102377 0.0494642367608672 0.0500548219478476 0.0456497175141243 0.0339753254199138
"wenig" 0.0331466859233128 0.0373338933417335 0.0429087355034029 0.0423082423606807 0.0357062146892655 0.0620049688913427
"dann" 0.0355143063464065 0.0268337358393709 0.0297977329884742 0.0220479572865519 0.0379661016949153 0.0857876966852823
"sogar" 0.0331466859233128 0.0443339983433085 0.0506561460804062 0.045883586785527 0.047909604519774 0.0390716242329009
"damals" 0.0189409633847502 0.0338338408409459 0.0238381863907794 0.0357534442484626 0.0230508474576271 0.0955556027435075
"griechen" 0.139689604962532 0.0571675241795294 0.0506561460804062 0.0214520665490776 0.0126553672316384 0.0433185399103901
"ihrem" 0.0355143063464065 0.040833945842521 0.0387370528850165 0.0423082423606807 0.0528813559322034 0.0424691567748922
"weniger" 0.0449847880387816 0.0396672616755918 0.0506561460804062 0.0339657720360395 0.040225988700565 0.0479901471556282
"roms" 0.0532714595196098 0.0805012075181128 0.0512521007401757 0.0452876960480526 0.0352542372881356 0.0242074193616886
"einzelnen" 0.0958886271352977 0.0571675241795294 0.0321815516275522 0.0321780998236163 0.0415819209039548 0.0335506338521649
"mußte" 0.0366981165579534 0.0396672616755918 0.0595954659769485 0.0470753682604758 0.0501694915254237 0.0229333446584418
"ganze" 0.0366981165579534 0.0361672091748043 0.0423127808436334 0.0351575535109882 0.0488135593220339 0.0458666893168836
"drei" 0.0686609922697193 0.0373338933417335 0.038141098225247 0.0339657720360395 0.0271186440677966 0.0577580532138534
"bürger" 0.0887857658660164 0.0781678391842544 0.0417168261838639 0.0476712589979501 0.0248587570621469 0.0233580362261907
"tat" 0.0378819267695003 0.0490007350110252 0.0518480553999452 0.0697192162845021 0.055593220338983 0
"erste" 0.0284114450771252 0.061834260847246 0.0399289622045555 0.050650712685322 0.0361581920903955 0.038222241097403
"dazu" 0.0260438246540315 0.040833945842521 0.0351613249263996 0.0440959145731039 0.0433898305084746 0.0471407640201304
"macht" 0.0355143063464065 0.0606675766803169 0.0542318740390231 0.0351575535109882 0.040225988700565 0.0314271760134203
"weder" 0.0497200288849692 0.0326671566740168 0.0464844634620198 0.0339657720360395 0.0519774011299435 0.0318518675811692
"politischen" 0.0295952552886721 0.0606675766803169 0.0333734609470911 0.0649520903847071 0.0519774011299435 0.0152888964389612
"eigenen" 0.0402495471925941 0.0420006300094501 0.038141098225247 0.0405205701482576 0.0442937853107345 0.0386469326651519
"selber" 0.0260438246540315 0.0291671041732293 0.0506561460804062 0.0476712589979501 0.0528813559322034 0.0263308772004332
"herrschaft" 0.0189409633847502 0.0525007875118127 0.0268179596896268 0.0297945368737188 0.0221468926553672 0.0755950990593082
"neben" 0.0662933718466256 0.040833945842521 0.0268179596896268 0.0208561758116032 0.0307344632768362 0.0611555857558448
"stellung" 0.0331466859233128 0.0361672091748043 0.0375451435654775 0.0357534442484626 0.0379661016949153 0.0496889134266239
"früher" 0.041433357404141 0.0466673666771668 0.0268179596896268 0.0387328979358345 0.0325423728813559 0.0530864459686153
"letzten" 0.0224923940193908 0.040833945842521 0.0423127808436334 0.0357534442484626 0.0456497175141243 0.0403456989361476
"machen" 0.00828667148082819 0.0350005250078751 0.0548278286987926 0.0530342756352195 0.0492655367231638 0.0229333446584418
"andern" 0.0532714595196098 0.0350005250078751 0.0417168261838639 0.0548219478476427 0.0388700564971751 0.0233580362261907
"jeder" 0.0662933718466256 0.0560008400126002 0.0327775062873217 0.0476712589979501 0.0429378531073446 0.0182617374132037
"c" 0.00828667148082819 0.00350005250078751 0.00238381863907794 0.0119178147494875 0.00903954802259887 0.136750684815153
"s" 0.0355143063464065 0.0186669466708667 0.0131110025149287 0.0125137054869619 0.0072316384180791 0.115091414859958
"epoche" 0.0544552697311567 0.061834260847246 0.0321815516275522 0.036349334985937 0.0230508474576271 0.0462913808846325
"nation" 0.0485362186734223 0.0490007350110252 0.0435046901631724 0.0214520665490776 0.0583050847457627 0.0225086530906929
"hand" 0.0355143063464065 0.0420006300094501 0.0286058236689353 0.0417123516232064 0.0533333333333333 0.0297284097424246
"können" 0.0473524084618754 0.0466673666771668 0.0399289622045555 0.0327739905610907 0.0348022598870057 0.0394963158006498
