lemma,count,per_1000
einfach,17,0.485
versuchen,17,0.485
königlich,17,0.485
sprechen,17,0.485
verpflichten,17,0.485
sofort,17,0.485
wagen,17,0.485
beseitigen,17,0.485
augenblick,17,0.485
werk,17,0.485
befugnis,17,0.485
sprache,17,0.485
markt,17,0.485
selten,17,0.485
bewahren,17,0.485
ausnahme,17,0.485
publius,17,0.485
berg,17,0.485
tribunizisch,17,0.485
tapfer,17,0.485
ort,17,0.485
gegner,17,0.485
reichen,17,0.485
gesandter,17,0.485
gemeinschaftlich,17,0.485
geltend,16,0.456
opposition,16,0.456
heimat,16,0.456
kollege,16,0.456
provokation,16,0.456
ausschließen,16,0.456
einrichtung,16,0.456
interesse,16,0.456
untertan,16,0.456
überdies,16,0.456
berufen,16,0.456
beschluß,16,0.456
stimmen,16,0.456
bauer,16,0.456
hälfte,16,0.456
knüpfen,16,0.456
folgen,16,0.456
bieten,16,0.456
marcus,16,0.456
feld,16,0.456
gallisch,16,0.456
national,16,0.456
barbar,16,0.456
samniten,16,0.456
praenest,16,0.456
armee,16,0.456
persönlich,15,0.428
institution,15,0.428
beweisen,15,0.428
konsularisch,15,0.428
praktisch,15,0.428
strafe,15,0.428
gewöhnlich,15,0.428
kompetenz,15,0.428
unterschied,15,0.428
aristokratisch,15,0.428
rufen,15,0.428
zählen,15,0.428
sodaß,15,0.428
gelegenheit,15,0.428
ehe,15,0.428
bürgerrecht,15,0.428
außerhalb,15,0.428
stand,15,0.428
heutig,15,0.428
vollkommen,15,0.428
helfen,15,0.428
erneuern,15,0.428
ädil,15,0.428
tafel,15,0.428
volke,15,0.428
kurulisch,15,0.428
niederlage,15,0.428
masse,15,0.428
prätor,15,0.428
see,15,0.428
unterwerfung,15,0.428
dionysios,15,0.428
veii,15,0.428
völkerschaft,15,0.428
kampaner,15,0.428
münze,15,0.428
betrachten,14,0.399
freiwillig,14,0.399
vertreibung,14,0.399
überlieferung,14,0.399
übertragen,14,0.399
üben,14,0.399
stattfinden,14,0.399
teilen,14,0.399
zugestehen,14,0.399
sittlich,14,0.399
vorkommen,14,0.399
feststellung,14,0.399
rein,14,0.399
republikanisch,14,0.399
bezeichnend,14,0.399
anstatt,14,0.399
steigen,14,0.399
oberer,14,0.399
aufgabe,14,0.399
kurie,14,0.399
centurie,14,0.399
angelegenheit,14,0.399
versammlung,14,0.399
entstehen,14,0.399
dienen,14,0.399
antrag,14,0.399
häufig,14,0.399
greifen,14,0.399
absicht,14,0.399
mittelstand,14,0.399
sieger,14,0.399
zwingen,14,0.399
bedrohen,14,0.399
vater,14,0.399
belagerung,14,0.399
verkehr,14,0.399
gallier,14,0.399
sizilien,14,0.399
feldzug,14,0.399
nationalität,14,0.399
liris,14,0.399
söldner,14,0.399
empfinden,13,0.371
tarquinier,13,0.371
grundbesitz,13,0.371
kreis,13,0.371
lucanisch,13,0.371
bestellen,13,0.371
beschließen,13,0.371
erbitterung,13,0.371
förmlich,13,0.371
monat,13,0.371
festhalten,13,0.371
äußerer,13,0.371
anwendung,13,0.371
beseitigung,13,0.371
patriziat,13,0.371
letzterer,13,0.371
reiche,13,0.371
eher,13,0.371
gewonnen,13,0.371
auge,13,0.371
fern,13,0.371
geist,13,0.371
gegründet,13,0.371
ansässig,13,0.371
herrschend,13,0.371
schutz,13,0.371
erwähnt,13,0.371
anderseits,13,0.371
absehen,13,0.371
kennen,13,0.371
eroberung,13,0.371
ansehnlich,13,0.371
bauerschaft,13,0.371
alsdann,13,0.371
denken,13,0.371
straße,13,0.371
suchen,13,0.371
volskisch,13,0.371
spurius,13,0.371
plan,13,0.371
glücklich,13,0.371
glied,13,0.371
tuskisch,13,0.371
liefern,13,0.371
verbündeter,13,0.371
griechenstadt,13,0.371
sage,13,0.371
zuzug,13,0.371
tusculum,13,0.371
verzeichnis,13,0.371
luceria,13,0.371
einheit,12,0.342
freigelassen,12,0.342
jährlich,12,0.342
ansehen,12,0.342
rücken,12,0.342
eigentümlich,12,0.342
aequer,12,0.342
nötig,12,0.342
schützen,12,0.342
solange,12,0.342
änderung,12,0.342
spruch,12,0.342
königszeit,12,0.342
unbedingt,12,0.342
umstand,12,0.342
behandlung,12,0.342
gerichtsbarkeit,12,0.342
fügen,12,0.342
hervor,12,0.342
behörde,12,0.342
diktatur,12,0.342
verfassungsmäßig,12,0.342
faktisch,12,0.342
mitglied,12,0.342
senator,12,0.342
anteil,12,0.342
begründen,12,0.342
ökonomisch,12,0.342
ebenfalls,12,0.342
kunde,12,0.342
billig,12,0.342
bilden,12,0.342
vorteil,12,0.342
ehre,12,0.342
geschlossen,12,0.342
ernst,12,0.342
schar,12,0.342
sabiner,12,0.342
meister,12,0.342
geschichtlich,12,0.342
gesandtschaft,12,0.342
annehmen,12,0.342
bestehend,12,0.342
vornehm,12,0.342
vereinigt,12,0.342
offizier,12,0.342
zensur,12,0.342
mangel,12,0.342
steigend,12,0.342
leisten,12,0.342
gewässer,12,0.342
mauer,12,0.342
alpen,12,0.342
anlage,12,0.342
senon,12,0.342
unbekannt,12,0.342
gefangener,12,0.342
ortschaft,12,0.342
elefant,12,0.342
aufzeichnung,12,0.342
richten,11,0.314
bewegung,11,0.314
gleichheit,11,0.314
angreifen,11,0.314
sozial,11,0.314
hervorgehen,11,0.314
krise,11,0.314
gunst,11,0.314
eintreten,11,0.314
rechtspfleg,11,0.314
kollegium,11,0.314
vernichten,11,0.314
damalig,11,0.314
handeln,11,0.314
einführung,11,0.314
pro,11,0.314
gleichsam,11,0.314
bedenklich,11,0.314
religiös,11,0.314
scharf,11,0.314
