lemma,count,per_1000
rom,1594,22.485
senat,332,4.683
sulla,322,4.542
krieg,256,3.611
könig,249,3.512
stadt,230,3.244
italien,221,3.117
politisch,209,2.948
konsul,207,2.92
gaius,195,2.751
italisch,186,2.624
teils,185,2.61
staat,177,2.497
gracchus,175,2.469
regierung,173,2.44
provinz,172,2.426
griechisch,170,2.398
heer,170,2.398
marius,167,2.356
gemeinde,152,2.144
feldherr,146,2.059
gebiet,145,2.045
lucius,134,1.89
führen,131,1.848
gesetz,126,1.777
landschaft,124,1.749
scipio,122,1.721
mithradat,122,1.721
bürgerschaft,120,1.693
partei,110,1.552
feind,106,1.495
bürger,105,1.481
spät,105,1.481
quintus,103,1.453
aristokratie,103,1.453
militärisch,103,1.453
hauptstadt,101,1.425
land,99,1.396
metellus,97,1.368
soldat,94,1.326
armee,94,1.326
verfassung,90,1.27
revolution,88,1.241
tod,87,1.227
sklave,85,1.199
lager,84,1.185
marcus,84,1.185
offizier,84,1.185
volk,81,1.143
kampf,80,1.128
öffentlich,80,1.128
italiker,79,1.114
frei,79,1.114
treffen,78,1.1
schwer,78,1.1
schlacht,78,1.1
beginnen,77,1.086
eigentlich,77,1.086
herr,76,1.072
allgemein,75,1.058
sohn,75,1.058
heißen,75,1.058
waffe,74,1.044
masse,74,1.044
makedonien,74,1.044
regiment,74,1.044
fest,73,1.03
jugurtha,73,1.03
truppe,71,1.002
tragen,71,1.002
wahrscheinlich,70,0.987
sieg,70,0.987
beamter,70,0.987
nennen,69,0.973
jung,69,0.973
oligarchie,69,0.973
zahlreich,68,0.959
statthalter,68,0.959
geschehen,68,0.959
asien,68,0.959
sagen,68,0.959
drusus,68,0.959
amt,67,0.945
fall,66,0.931
kreis,65,0.917
gewalt,64,0.903
lateinisch,64,0.903
publius,64,0.903
stellung,63,0.889
ähnlich,63,0.889
jahrhundert,62,0.875
leute,61,0.86
wichtig,61,0.86
antrag,61,0.86
persönlich,60,0.846
versuch,60,0.846
epoche,60,0.846
keineswegs,59,0.832
latinisch,59,0.832
schließen,59,0.832
gering,59,0.832
grund,59,0.832
menge,58,0.818
frieden,58,0.818
gegner,58,0.818
stelle,58,0.818
zahl,58,0.818
voll,58,0.818
haus,58,0.818
auftreten,58,0.818
senator,58,0.818
ordnung,57,0.804
klein,57,0.804
nation,57,0.804
übrig,57,0.804
rasch,57,0.804
stehend,56,0.79
führer,56,0.79
vermögen,56,0.79
bestehen,55,0.776
gesamt,55,0.776
karthago,55,0.776
erfolg,54,0.762
verstehen,54,0.762
völlig,54,0.762
ernstlich,54,0.762
meer,53,0.748
übernehmen,53,0.748
erhalten,53,0.748
spitze,53,0.748
anfang,52,0.733
konsuln,52,0.733
angriff,52,0.733
bundesgenosse,52,0.733
versuchen,51,0.719
herrschaft,51,0.719
verbindung,51,0.719
sache,51,0.719
beschränken,51,0.719
spanien,50,0.705
werfen,50,0.705
verlieren,50,0.705
insel,50,0.705
vornehm,50,0.705
rede,49,0.691
prätor,49,0.691
afrika,49,0.691
bestimmen,49,0.691
erklären,49,0.691
minder,48,0.677
folge,48,0.677
ferner,48,0.677
osten,48,0.677
insurrektion,48,0.677
wort,47,0.663
hellenisch,47,0.663
asiatisch,47,0.663
konsulat,47,0.663
freund,47,0.663
werk,47,0.663
gelangen,47,0.663
ausnahme,47,0.663
zweifel,47,0.663
vielmehr,47,0.663
grenze,47,0.663
sinn,47,0.663
pontisch,47,0.663
wahl,46,0.649
stark,46,0.649
kolonie,46,0.649
greifen,46,0.649
flaccus,46,0.649
carbo,46,0.649
kimbrer,46,0.649
gewöhnlich,45,0.635
vater,45,0.635
cinna,45,0.635
tatsächlich,44,0.621
mauer,44,0.621
innerer,44,0.621
bisherig,44,0.621
befehl,44,0.621
gefährlich,44,0.621
widerstand,44,0.621
proletariat,44,0.621
urheber,44,0.621
literatur,44,0.621
obwohl,43,0.607
fehlen,43,0.607
meister,43,0.607
opposition,43,0.607
unmittelbar,43,0.607
saturninus,43,0.607
gelingen,42,0.592
auge,42,0.592
nächster,42,0.592
wissen,42,0.592
beweisen,42,0.592
entscheiden,42,0.592
gehören,42,0.592
interesse,42,0.592
begegnen,42,0.592
hauptstädtisch,42,0.592
belagerung,41,0.578
bruder,41,0.578
trotz,41,0.578
suchen,41,0.578
ansehnlich,41,0.578
tief,40,0.564
rechtlich,40,0.564
frage,40,0.564
vertrag,40,0.564
retten,40,0.564
legione,40,0.564
tlr,40,0.564
straße,40,0.564
kommando,40,0.564
alpen,40,0.564
geschichte,39,0.55
bestimmt,39,0.55
feindlich,39,0.55
mensch,39,0.55
karthagisch,39,0.55
syrien,39,0.55
überall,39,0.55
stück,39,0.55
crassus,39,0.55
folgen,38,0.536
halbinsel,38,0.536
bestehend,38,0.536
tor,38,0.536
bilden,38,0.536
reihe,38,0.536
freiheit,38,0.536
form,38,0.536
geist,38,0.536
fuß,38,0.536
maßregel,38,0.536
gewinnen,38,0.536
hilfe,38,0.536
revolutionär,38,0.536
ernst,37,0.522
gesetzlich,37,0.522
kind,37,0.522
nötigen,37,0.522
aemilianus,37,0.522
gemein,37,0.522
zug,37,0.522
regelmäßig,37,0.522
sicher,37,0.522
legen,37,0.522
dichter,37,0.522
verschieden,36,0.508
infolge,36,0.508
oberbefehl,36,0.508
erkennen,36,0.508
bezeichnen,36,0.508
erheben,36,0.508
all,36,0.508
griechenland,36,0.508
grieche,36,0.508
sprache,36,0.508
rein,36,0.508
afrikanisch,35,0.494
besatzung,35,0.494
tiberius,35,0.494
anzahl,35,0.494
halb,35,0.494
nachfolger,35,0.494
niederlage,35,0.494
folgend,35,0.494
sieger,35,0.494
richten,35,0.494
abteilung,35,0.494
brechen,35,0.494
kollege,35,0.494
politik,35,0.494
entwickeln,35,0.494
caesar,35,0.494
bildung,35,0.494
bürgerrecht,35,0.494
sowohl,34,0.48
südlich,34,0.48
zustand,34,0.48
nördlich,34,0.48
lage,34,0.48
cato,34,0.48
caepio,34,0.48
bewegung,34,0.48
pompeius,34,0.48
senatorisch,34,0.48
insofern,34,0.48
sicilie,34,0.48
regierend,34,0.48
markt,34,0.48
küste,34,0.48
sprechen,34,0.48
spanisch,33,0.465
gelegenheit,33,0.465
liefern,33,0.465
mächtig,33,0.465
gewähren,33,0.465
inzwischen,33,0.465
wagen,33,0.465
bevölkerung,33,0.465
beseitigen,33,0.465
gedanke,33,0.465
schreiben,33,0.465
streng,33,0.465
überseeisch,32,0.451
sofort,32,0.451
hoffnung,32,0.451
gelten,32,0.451
general,32,0.451
insurgente,32,0.451
deutlich,32,0.451
schiff,32,0.451
augenblick,32,0.451
treiben,32,0.451
geschäft,32,0.451
volkstribun,32,0.451
censor,32,0.451
ehre,31,0.437
töten,31,0.437
energisch,31,0.437
stand,31,0.437
rücken,31,0.437
zuvor,31,0.437
rufen,31,0.437
geradezu,31,0.437
boden,31,0.437
charakter,31,0.437
demokratisch,31,0.437
notwendig,31,0.437
selten,31,0.437
städtisch,31,0.437
besetzen,31,0.437
absicht,31,0.437
religion,31,0.437
gemeinwesen,31,0.437
kraft,31,0.437
rufus,31,0.437
fordern,30,0.423
aufgabe,30,0.423
gleichzeitig,30,0.423
abermals,30,0.423
angesehen,30,0.423
souverän,30,0.423
behandeln,30,0.423
konsular,30,0.423
kommission,30,0.423
karthager,30,0.423
vieler,30,0.423
gewiß,30,0.423
zweck,30,0.423
ziel,30,0.423
opfer,30,0.423
vermutlich,30,0.423
strabo,30,0.423
östlich,29,0.409
schlimm,29,0.409
einst,29,0.409
übertragen,29,0.409
plötzlich,29,0.409
