lemma,count,per_1000
rom,2180,31.672
karthago,601,8.732
krieg,436,6.334
stadt,342,4.969
hannibal,284,4.126
heer,252,3.661
makedonien,249,3.618
griechisch,244,3.545
italien,231,3.356
senat,209,3.036
könig,190,2.76
italisch,181,2.63
gemeinde,171,2.484
flotte,171,2.484
führen,165,2.397
philippos,160,2.325
feldherr,147,2.136
feind,141,2.049
gebiet,135,1.961
politisch,135,1.961
staat,132,1.918
cato,132,1.918
schlacht,130,1.889
spanien,124,1.802
griechenland,122,1.772
land,121,1.758
regierung,117,1.7
bürgerschaft,115,1.671
truppe,111,1.613
konsul,111,1.613
insel,109,1.584
scipio,108,1.569
phönikisch,102,1.482
antiochos,99,1.438
schiff,97,1.409
erfolg,96,1.395
armee,95,1.38
nation,94,1.366
frieden,93,1.351
herr,89,1.293
bürger,88,1.279
sieg,85,1.235
afrika,83,1.206
grieche,82,1.191
bundesgenosse,81,1.177
besatzung,80,1.162
ätoler,80,1.162
feindlich,79,1.148
lager,79,1.148
kampf,78,1.133
angriff,78,1.133
landschaft,78,1.133
haus,78,1.133
erhalten,77,1.119
phöniker,76,1.104
geschehen,76,1.104
legione,76,1.104
sklave,75,1.09
spanisch,75,1.09
küste,74,1.075
wahrscheinlich,74,1.075
übrig,73,1.061
bestimmen,71,1.032
heißen,70,1.017
reiterei,70,1.017
soldat,70,1.017
nennen,69,1.002
sagen,69,1.002
hellenisch,68,0.988
frei,68,0.988
sohn,68,0.988
stellung,66,0.959
grund,66,0.959
fall,66,0.959
gering,66,0.959
meer,65,0.944
leute,65,0.944
versuch,64,0.93
gewinnen,64,0.93
latinisch,63,0.915
gewiß,63,0.915
flamininus,63,0.915
dichter,63,0.915
jahrhundert,62,0.901
gegner,62,0.901
sizilisch,61,0.886
gelten,60,0.872
hannibalisch,60,0.872
verstehen,60,0.872
poesie,60,0.872
erreichen,59,0.857
hauptstadt,59,0.857
partei,59,0.857
versuchen,59,0.857
ägypten,58,0.843
vermögen,58,0.843
stück,58,0.843
folgen,57,0.828
überall,57,0.828
literatur,57,0.828
gaius,57,0.828
perseus,57,0.828
hafen,56,0.814
besetzen,56,0.814
anfang,56,0.814
offizier,56,0.814
notwendig,56,0.814
grenze,55,0.799
waffe,55,0.799
sicher,55,0.799
ähnlich,55,0.799
nächster,55,0.799
hamilkar,55,0.799
östlich,54,0.785
obwohl,54,0.785
mächtig,54,0.785
epoche,54,0.785
schließen,54,0.785
allgemein,54,0.785
festung,54,0.785
marcus,54,0.785
gehören,53,0.77
keineswegs,53,0.77
ernstlich,53,0.77
zweifel,53,0.77
verbindung,53,0.77
vater,53,0.77
verlieren,53,0.77
eidgenossenschaft,53,0.77
hasdrubal,53,0.77
untertan,52,0.755
trotz,52,0.755
militärisch,52,0.755
werfen,52,0.755
reiter,52,0.755
unmittelbar,52,0.755
volk,51,0.741
see,51,0.741
entscheiden,51,0.741
sizilien,50,0.726
wissen,50,0.726
sizilie,50,0.726
völlig,50,0.726
asien,50,0.726
ferner,49,0.712
provinz,49,0.712
minder,49,0.712
jung,49,0.712
gelingen,49,0.712
politik,48,0.697
erklären,48,0.697
menge,48,0.697
kelt,48,0.697
fehlen,47,0.683
herrschaft,47,0.683
zahl,47,0.683
plan,47,0.683
tragen,46,0.668
vielmehr,46,0.668
