lemma,count,per_1000
rom,755,22.584
gemeinde,228,6.82
griechisch,209,6.252
latinisch,174,5.205
italisch,168,5.025
latium,142,4.248
italien,137,4.098
stadt,133,3.978
grieche,118,3.53
könig,115,3.44
stamm,113,3.38
etruskisch,96,2.872
bürger,90,2.692
haus,89,2.662
staat,88,2.632
italiker,87,2.602
volk,86,2.572
etrusker,82,2.453
sprache,73,2.184
nation,69,2.064
entwickelung,67,2.004
alphabet,67,2.004
geschichte,66,1.974
latiner,65,1.944
gott,64,1.914
hellenisch,63,1.884
verkehr,61,1.825
etrurien,58,1.735
geschlecht,57,1.705
vater,56,1.675
landschaft,55,1.645
rechtlich,54,1.615
gebiet,52,1.555
bürgerschaft,52,1.555
spur,50,1.496
kunst,48,1.436
meer,47,1.406
uralt,47,1.406
epoche,46,1.376
zweifel,45,1.346
zahl,45,1.346
führen,44,1.316
politisch,43,1.286
götter,43,1.286
lateinisch,42,1.256
frei,42,1.256
fremd,41,1.226
bedeutung,40,1.196
entwickeln,39,1.167
mensch,39,1.167
überlieferung,39,1.167
regelmäßig,39,1.167
kind,39,1.167
verschieden,38,1.137
griechenland,38,1.137
öffentlich,38,1.137
servianisch,38,1.137
religion,37,1.107
herr,37,1.107
palatin,37,1.107
notwendig,36,1.077
geschichtlich,35,1.047
bestimmen,35,1.047
innerhalb,35,1.047
wissen,35,1.047
gewalt,35,1.047
anfang,34,1.017
beziehung,34,1.017
späterhin,34,1.017
gering,34,1.017
entstehen,34,1.017
sohn,34,1.017
religiös,34,1.017
insofern,34,1.017
boden,33,0.987
wort,33,0.987
kennen,33,0.987
verfassung,33,0.987
grund,33,0.987
heilig,33,0.987
vermutlich,33,0.987
tief,32,0.957
land,32,0.957
ansiedelung,32,0.957
gegensatz,32,0.957
beruhen,32,0.957
häufig,32,0.957
jung,32,0.957
vermögen,32,0.957
frau,32,0.957
handel,32,0.957
sklave,32,0.957
element,31,0.927
gewinnen,31,0.927
überall,31,0.927
minder,31,0.927
gebrauch,31,0.927
palatinisch,31,0.927
gelangen,30,0.897
unmittelbar,30,0.897
sage,30,0.897
sprechen,30,0.897
familie,30,0.897
knecht,30,0.897
beweisen,30,0.897
städtisch,30,0.897
zeichen,30,0.897
fehlen,29,0.867
völlig,29,0.867
wesen,29,0.867
mächtig,29,0.867
quirinal,29,0.867
hellene,28,0.838
eng,28,0.838
national,28,0.838
deutsch,28,0.838
gewöhnlich,28,0.838
stellung,28,0.838
bestimmt,28,0.838
einfach,28,0.838
gau,28,0.838
indogermanisch,27,0.808
schließen,27,0.808
küste,27,0.808
erkennen,27,0.808
begegnen,27,0.808
vorkommen,27,0.808
senat,27,0.808
erklären,27,0.808
offenbar,27,0.808
phoenikisch,27,0.808
tiber,26,0.778
berg,26,0.778
verschollen,26,0.778
vorzugsweise,26,0.778
sowohl,26,0.778
denken,26,0.778
fuß,26,0.778
ehe,26,0.778
rat,26,0.778
caere,26,0.778
insel,25,0.748
südlich,25,0.748
einheit,25,0.748
westlich,25,0.748
östlich,25,0.748
sizilisch,25,0.748
krieg,25,0.748
gemein,25,0.748
