lemma,count,per_1000
rom,1501,16.205
caesar,1267,13.679
pompeius,747,8.065
senat,337,3.638
könig,320,3.455
italien,263,2.839
politisch,257,2.775
krieg,256,2.764
stadt,224,2.418
soldat,222,2.397
feldherr,215,2.321
armee,212,2.289
heer,207,2.235
provinz,201,2.17
partei,192,2.073
hauptstadt,188,2.03
feind,184,1.987
legione,182,1.965
gebiet,166,1.792
italisch,165,1.781
gallien,162,1.749
führen,158,1.706
nation,156,1.684
staat,152,1.641
landschaft,147,1.587
griechisch,145,1.565
truppe,141,1.522
gesetz,135,1.457
marcus,134,1.447
cicero,134,1.447
lucullus,130,1.404
spanien,127,1.371
militärisch,125,1.35
crassus,125,1.35
lager,125,1.35
regierung,124,1.339
kampf,120,1.296
gaius,118,1.274
gegner,116,1.252
gemeinde,113,1.22
demokratie,112,1.209
land,112,1.209
cato,109,1.177
keltisch,108,1.166
offizier,107,1.155
sieg,106,1.144
statthalter,106,1.144
osten,105,1.134
gewalt,103,1.112
herr,103,1.112
spät,102,1.101
persönlich,102,1.101
allgemein,101,1.09
bürgerschaft,101,1.09
öffentlich,101,1.09
feindlich,101,1.09
flotte,101,1.09
sulla,100,1.08
tod,100,1.08
mithradat,99,1.069
konsul,98,1.058
führer,97,1.047
schlacht,96,1.036
waffe,95,1.026
lucius,95,1.026
kelt,95,1.026
opposition,94,1.015
übrig,94,1.015
aristokratie,93,1.004
vermögen,92,0.993
bestimmen,92,0.993
klein,92,0.993
ward,91,0.982
name,90,0.972
stellung,90,0.972
erhalten,89,0.961
heißen,89,0.961
grund,88,0.95
ähnlich,88,0.95
erfolg,88,0.95
meer,88,0.95
machthaber,87,0.939
zeigen,87,0.939
wahrscheinlich,87,0.939
frei,86,0.928
versuchen,86,0.928
angriff,86,0.928
amt,86,0.928
monarchie,86,0.928
eigentlich,85,0.918
reiter,85,0.918
schwer,85,0.918
menge,84,0.907
sagen,84,0.907
treffen,84,0.907
erklären,83,0.896
konsulat,82,0.885
beginnen,82,0.885
reiterei,82,0.885
verstehen,81,0.874
minder,81,0.874
deutsch,81,0.874
wichtig,80,0.864
syrien,80,0.864
voll,79,0.853
welt,79,0.853
ägypten,79,0.853
masse,78,0.842
rasch,78,0.842
schiff,78,0.842
versuch,78,0.842
literatur,78,0.842
sache,77,0.831
demokratisch,77,0.831
vornehm,75,0.81
metellus,75,0.81
regiment,74,0.799
haus,74,0.799
varro,74,0.799
fest,73,0.788
gewinnen,73,0.788
treiben,73,0.788
bestehen,73,0.788
hauptstädtisch,72,0.777
tief,72,0.777
fall,72,0.777
gering,72,0.777
ansehnlich,72,0.777
sertorius,72,0.777
spanisch,72,0.777
plan,72,0.777
dennoch,71,0.767
verbindung,71,0.767
bestimmt,70,0.756
suchen,70,0.756
ferner,69,0.745
leute,69,0.745
wahl,69,0.745
sinn,69,0.745
gelingen,69,0.745
volk,69,0.745
bürgerkrieg,68,0.734
überall,68,0.734
gau,67,0.723
sohn,66,0.713
jung,66,0.713
erreichen,66,0.713
spitze,66,0.713
grenze,66,0.713
ordnung,65,0.702
bürger,65,0.702
entscheiden,65,0.702
gesamt,65,0.702
sicher,64,0.691
wort,64,0.691
tragen,64,0.691
stark,64,0.691
verlieren,63,0.68
brechen,63,0.68
geschehen,63,0.68
interesse,63,0.68
werk,62,0.669
legen,62,0.669
tlr,61,0.659
augenblick,61,0.659
antrag,61,0.659
catilina,61,0.659
verschieden,60,0.648
gelten,60,0.648
vielmehr,60,0.648
republikanisch,60,0.648
zahlreich,59,0.637
rede,59,0.637
fehlen,59,0.637
völlig,59,0.637
unmittelbar,59,0.637
notwendig,59,0.637
pontisch,59,0.637
geschichte,59,0.637
nennen,58,0.626
einst,58,0.626
quintus,58,0.626
meister,58,0.626
gewöhnlich,58,0.626
obwohl,58,0.626
wissen,58,0.626
mächtig,58,0.626
wagen,58,0.626
oligarchie,57,0.615
werfen,57,0.615
afrika,57,0.615
anfang,57,0.615
hellenisch,57,0.615
verfassung,56,0.605
küste,56,0.605
schließen,56,0.605
ufer,56,0.605
lateinisch,56,0.605
gelegenheit,55,0.594
stehend,55,0.594
sowohl,54,0.583
fürst,54,0.583
gelangen,54,0.583
national,54,0.583
gemeinwesen,53,0.572
ziel,53,0.572
gewiß,53,0.572
mill,53,0.572
rücken,53,0.572
deutsche,53,0.572
konsuln,53,0.572
kommando,53,0.572
zahl,53,0.572
koalition,53,0.572
epoche,52,0.561
publius,52,0.561
mensch,52,0.561
niederlage,52,0.561
östlich,52,0.561
bisherig,52,0.561
publikum,52,0.561
jahrhundert,51,0.551
keineswegs,51,0.551
zwingen,51,0.551
zuvor,51,0.551
nötigen,51,0.551
feldzug,51,0.551
antonius,51,0.551
schrift,51,0.551
ursache,50,0.54
halb,50,0.54
stelle,50,0.54
freund,50,0.54
folgen,50,0.54
form,50,0.54
insurrektion,50,0.54
hafen,50,0.54
widerstand,50,0.54
herrschaft,50,0.54
monarch,50,0.54
streng,49,0.529
bilden,49,0.529
gefahr,49,0.529
auge,49,0.529
natur,49,0.529
lage,49,0.529
kilikien,49,0.529
besetzen,49,0.529
südlich,49,0.529
insel,49,0.529
armenien,49,0.529
euphrat,49,0.529
absicht,48,0.518
talent,48,0.518
offenbar,48,0.518
spielen,48,0.518
see,48,0.518
ausnahme,48,0.518
längst,48,0.518
bezeichnen,48,0.518
nächster,48,0.518
zweifel,48,0.518
übernehmen,48,0.518
häduer,48,0.518
gehören,47,0.507
tatsächlich,47,0.507
beamter,47,0.507
korps,47,0.507
trotz,47,0.507
kraft,47,0.507
gallisch,47,0.507
überlegen,47,0.507
sprache,47,0.507
freiheit,46,0.497
pompeianer,46,0.497
schreiben,46,0.497
sprechen,46,0.497
sieger,46,0.497
imperator,46,0.497
scipio,46,0.497
prätor,46,0.497
eintreffen,46,0.497
innerer,46,0.497
zweck,45,0.486
sklave,45,0.486
ernstlich,45,0.486
straße,45,0.486
ernst,45,0.486
staatsmann,45,0.486
vieler,45,0.486
zählen,45,0.486
fluß,45,0.486
geist,45,0.486
syrisch,45,0.486
clodius,45,0.486
behaupten,44,0.475
erkennen,44,0.475
aufgabe,44,0.475
latinisch,43,0.464
vater,43,0.464
beschränken,43,0.464
alexander,43,0.464
preis,43,0.464
hilfe,43,0.464
retten,43,0.464
winter,43,0.464
schwierig,43,0.464
inzwischen,43,0.464
erwarten,43,0.464
summe,43,0.464
frieden,43,0.464
labienus,43,0.464
republik,43,0.464
rhein,43,0.464
heimat,42,0.453
bestehend,42,0.453
eng,42,0.453
platz,42,0.453
kreis,42,0.453
befehl,42,0.453
folge,42,0.453
reiche,42,0.453
verlust,42,0.453
sämtlicher,42,0.453
entwickeln,42,0.453
häufig,42,0.453
insofern,42,0.453
gemein,42,0.453
frage,42,0.453
behandeln,41,0.443
boden,41,0.443
all,41,0.443
einfluß,41,0.443
rolle,41,0.443
linie,41,0.443
asien,41,0.443
kollege,41,0.443
selten,41,0.443
glücklich,41,0.443
überschreiten,41,0.443
anspruch,41,0.443
gestatten,41,0.443
linker,41,0.443
