band,left,unnamed:2,unnamed:3,unnamed:4,unnamed:5,unnamed:6,unnamed:7,unnamed:8,unnamed:9,unnamed:10,keyword,right,unnamed:13,unnamed:14,unnamed:15,unnamed:16,unnamed:17,unnamed:18,unnamed:19,unnamed:20,unnamed:21,context,adjectives
Buch4,Ostgrenze,der,römischen,Klientel,bilden,solle,I,743,ward,vom,Senat,nicht,eingehalten,und,trug,auch,die,Unhaltbarkeit,in,sich,selber,Ostgrenze Senat nicht,[]
Buch4,zu,erwirken,persönlich,in,Rom,erschienen,Beide,Angelegenheiten,ordnete,der,Senat,lediglich,auf,diplomatischem,Wege,und,wesentlich,nach,Maßgabe,des,römischen,zu Senat lediglich,[]
Buch4,über,den,königlichen,Knaben,der,römische,Senator,Gnaeus,Octavius,vom,Senat,beauftragt,welcher,wie,begreiflich,durchaus,im,römischen,Interesse,regierte,die,über Senat beauftragt,[]
Buch4,war,für,lange,Zeit,das,letzte,Mal,daß,der,römische,Senat,in,den,Angelegenheiten,des,Ostens,mit,derjenigen,Tüchtigkeit,und,Tatkraft,war Senat in,[]
Buch4,und,bemächtigte,sich,unter,dem,dreisten,Vorgeben,daß,der,römische,Senat,ihn,dazu,bevollmächtigt,habe,nach,Beseitigung,des,königlichen,Knaben,der,und Senat ihn,[]
Buch4,Krieg,aus,über,den,Besitz,der,Insel,Kypros,welche,der,Senat,zuerst,dem,älteren,sodann,dem,jüngern,zugeschieden,hatte,und,im,Krieg Senat zuerst,[]
Buch4,ähnlicher,Weise,sich,an,römischen,Abgeordneten,vergriffen,hatte,der,damalige,Senat,dem,Ermordeten,auf,dem,Marktplatz,ein,Denkmal,errichtet,und,mit,ähnlicher Senat dem,['ähnlich']
Buch4,mit,Heer,und,Flotte,die,Mörder,zur,Verantwortung,gezogen,Der,Senat,dieser,Zeit,ließ,dem,Gnaeus,Octavius,gleichfalls,ein,Denkmal,setzen,mit Senat dieser,[]
Buch4,und,dadurch,das,geteilte,Reich,wiederum,vereinigt,ward,ließ,der,Senat,auch,dies,ungehindert,geschehen,Nach,solchen,Vorgängen,war,der,römische,und Senat auch,[]
Buch4,Empörung,gedrängt,wurden,um,587,Die,Sache,kam,an,den,Senat,und,da,derselbe,ebendamals,teils,gegen,Demetrios,Soter,mit,gutem,Empörung Senat und,[]
Buch4,Timarchos,sich,unabhängig,ja,der,letztere,ließ,sich,vom,römischen,Senat,seine,Unabhängigkeit,bestätigen,und,herrschte,gestützt,auf,das,verbündete,Armenien,Timarchos Senat seine,[]
Buch4,seit,Jahrhunderten,verlassene,aber,noch,nicht,verwischte,Geleise,Der,römische,Senat,opfert,das,erste,wesentliche,Ergebnis,der,Politik,Alexanders,und,leitet,seit Senat opfert,[]
Buch4,Passivität,sich,beteiligten,Das,Übel,ward,so,ernsthaft,daß,der,Senat,um,611,seinen,besten,Mann,Scipio,Aemilianns,nach,Alexandreia,und,Passivität Senat um,[]
Buch4,Rom,Als,der,erste,der,mit,Erfolg,versuchte,den,römischen,Senat,zu,bestechen,wird,Timarchos,genannt,der,Gesandte,des,Königs,Antiochos,Rom Senat zu,[]
Buch4,ihm,für,den,Numantinischen,Krieg,die,Aushebung,zu,gestatten,vom,Senat,geradezu,abgeschlagen,ward,Schon,erinnern,denn,auch,die,römischen,Heere,ihm Senat geradezu,[]
Buch4,eringen,ist,schwerer,noch,zu,bewahren,jenes,hatte,der,römische,Senat,vermocht,an,diesem,ist,er,gescheitert,Ein,volles,Menschenalter,nach,eringen Senat vermocht,['ering']
Buch4,Grade,erfolgreich,Man,verbesserte,die,Rechtspflege,Die,Administrativjurisdiktion,wie,der,Senat,sie,entweder,selbst,oder,gelegentlich,durch,außerordentliche,Kommissionen,über,die,Grade Senat sie,[]
Buch4,die,Senatoren,durch,Volksbeschluß,angewiesen,bei,dem,Eintritt,in,den,Senat,ihr,Ritterpferd,abzugeben,und,also,auf,den,bevorzugten,Stimmplatz,in,die Senat ihr,[]
